Id,ActivityDate,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,day_type
2347167796,2016-03-29,10272,2041,2,58,208,700,Weekday
6962181067,2016-03-30,15491,2244,18,77,272,641,Weekday
6775888955,2016-04-01,7225,3065,25,50,163,1189,Weekday
2891001357,2016-04-01,0,4562,0,660,0,780,Weekday
1644430081,2016-04-02,20237,4029,34,141,347,918,Weekend
6290855005,2016-04-02,9548,3119,25,107,113,1195,Weekend
4702921684,2016-04-03,12116,3357,3,57,323,471,Weekend
4319703577,2016-04-04,10067,2308,5,39,313,578,Weekday
3977333714,2016-04-04,11943,1648,16,43,297,710,Weekday
6775888955,2016-04-05,9348,4286,56,133,240,1011,Weekday
5577150313,2016-04-06,11080,3765,83,52,190,695,Weekday
6775888955,2016-04-06,11761,3920,24,99,300,550,Weekday
3977333714,2016-04-07,8422,1431,0,81,139,815,Weekday
5553957443,2016-04-07,15444,2249,51,39,243,731,Weekday
6775888955,2016-04-07,13987,3856,46,114,250,739,Weekday
1644430081,2016-04-07,11166,3202,3,58,230,1149,Weekday
2022484408,2016-04-07,18247,3021,72,62,252,1054,Weekday
3977333714,2016-04-08,10226,1524,0,101,174,685,Weekday
1644430081,2016-04-08,7842,2928,7,43,161,1229,Weekday
7086361926,2016-04-08,9634,2752,50,48,140,797,Weekday
4057192912,2016-04-08,8426,2360,2,120,25,1293,Weekday
4702921684,2016-04-09,14002,3597,8,56,381,407,Weekend
1644430081,2016-04-09,13840,3290,18,81,192,1149,Weekend
5577150313,2016-04-09,10494,3817,123,62,138,601,Weekend
2347167796,2016-04-11,10001,2009,5,52,196,788,Weekday
2347167796,2016-04-14,10129,2010,1,48,206,705,Weekday
1644430081,2016-04-14,11037,3226,5,58,252,1125,Weekday
5577150313,2016-04-15,12087,4005,115,54,199,695,Weekday
5577150313,2016-04-16,14269,4274,184,56,158,472,Weekend
3977333714,2016-04-16,13459,1625,31,83,153,663,Weekend
2347167796,2016-04-16,22244,2670,66,72,268,968,Weekend
3977333714,2016-04-17,10415,1529,11,58,205,600,Weekend
4702921684,2016-04-17,12692,3394,12,66,302,437,Weekend
3977333714,2016-04-18,11663,1584,4,95,214,605,Weekday
7086361926,2016-04-19,10688,2944,67,69,124,671,Weekday
1644430081,2016-04-19,11256,3300,5,58,278,1099,Weekday
3977333714,2016-04-19,12414,1638,19,67,221,738,Weekday
6775888955,2016-04-20,10771,3727,70,113,178,1079,Weekday
2022484408,2016-04-20,15112,2897,48,63,276,1053,Weekday
2347167796,2016-04-20,10999,2198,11,43,269,1011,Weekday
3977333714,2016-04-20,11658,1554,2,98,164,845,Weekday
5577150313,2016-04-21,10830,4018,110,74,175,670,Weekday
2022484408,2016-04-21,12453,3158,104,53,255,1028,Weekday
7086361926,2016-04-22,9753,2846,58,59,153,762,Weekday
7007744171,2016-04-22,15299,2889,64,50,261,1065,Weekday
8583815059,2016-04-22,8687,2944,4,54,212,1170,Weekday
3977333714,2016-04-23,12058,1638,0,92,252,724,Weekend
8583815059,2016-04-23,9423,3012,7,44,238,1151,Weekend
4702921684,2016-04-23,15126,3691,9,66,408,469,Weekend
5577150313,2016-04-24,15764,4392,210,65,141,425,Weekend
4702921684,2016-04-24,15050,3538,15,95,281,542,Weekend
3977333714,2016-04-24,14112,1655,30,95,129,660,Weekend
8583815059,2016-04-24,8286,2889,2,44,206,1188,Weekend
8253242879,2016-04-25,6829,1909,7,54,118,1261,Weekday
7086361926,2016-04-25,10091,2752,69,39,129,706,Weekday
3977333714,2016-04-26,11388,1551,7,95,170,797,Weekday
8583815059,2016-04-26,10499,3093,1,91,214,1134,Weekday
4319703577,2016-04-27,10780,2324,6,47,300,680,Weekday
4388161847,2016-04-27,11193,3074,11,48,241,684,Weekday
7086361926,2016-04-28,11584,2862,54,48,161,810,Weekday
1644430081,2016-04-28,9405,3108,3,53,227,1157,Weekday
2022484408,2016-04-29,10245,2611,21,40,281,1098,Weekday
8583815059,2016-04-29,15168,3513,46,67,258,1069,Weekday
3977333714,2016-04-30,13238,1650,43,52,194,687,Weekend
4388161847,2016-04-30,12533,3283,14,43,300,537,Weekend
1644430081,2016-04-30,18213,3846,9,71,402,816,Weekend
3977333714,2016-05-01,10414,1501,41,40,124,691,Weekend
1624580081,2016-05-01,36019,2690,186,63,171,1020,Weekend
6290855005,2016-05-01,9837,3327,8,95,282,1055,Weekend
5577150313,2016-05-01,13368,4546,194,72,178,499,Weekend
6962181067,2016-05-02,12912,2162,18,39,313,655,Weekday
4702921684,2016-05-02,7245,2859,5,40,195,1131,Weekday
3977333714,2016-05-02,16520,1760,24,143,176,713,Weekday
1644430081,2016-05-03,12850,3324,10,94,221,1115,Weekday
3977333714,2016-05-04,13559,1628,14,96,142,852,Weekday
4388161847,2016-05-05,9603,2899,12,39,199,896,Weekday
3977333714,2016-05-05,12312,1618,14,88,178,680,Weekday
3977333714,2016-05-06,11677,1590,29,55,168,676,Weekday
3977333714,2016-05-07,11550,1574,0,86,208,703,Weekend
4388161847,2016-05-07,22770,4022,120,56,260,508,Weekend
3977333714,2016-05-08,13585,1633,9,116,171,688,Weekend
8583815059,2016-05-08,9217,2940,3,72,182,1183,Weekend
4702921684,2016-05-08,12857,3287,9,125,192,1019,Weekend
7086361926,2016-05-09,13566,2960,67,50,171,743,Weekday
3977333714,2016-05-09,14687,1667,8,122,151,1159,Weekday
2022484408,2016-05-09,13379,2709,35,47,297,1061,Weekday
5553957443,2016-05-10,16358,2335,61,40,265,707,Weekday
3977333714,2016-05-10,13072,1630,1,115,196,676,Weekday
8583815059,2016-05-10,8240,2846,9,43,162,1226,Weekday
8583815059,2016-05-11,8701,2804,5,71,177,1106,Weekday
7086361926,2016-05-11,9572,2735,57,40,128,757,Weekday
4020332650,2016-03-12,5543,2990,0,0,254,757,Weekend
4057192912,2016-03-12,0,1777,0,0,0,1440,Weekend
4020332650,2016-03-13,3226,2480,0,0,136,771,Weekend
4057192912,2016-03-13,0,1777,0,0,0,1440,Weekend
4020332650,2016-03-14,3023,2570,0,0,145,1005,Weekday
4057192912,2016-03-15,0,1776,0,0,0,1440,Weekday
4057192912,2016-03-17,0,1776,0,0,0,1440,Weekday
4020332650,2016-03-17,8940,3706,0,0,47,986,Weekday
4057192912,2016-03-18,949,1870,0,0,34,1406,Weekday
4020332650,2016-03-18,368,2024,0,0,0,1440,Weekday
4020332650,2016-03-19,5702,2980,0,0,0,1440,Weekend
4057192912,2016-03-19,0,1777,0,0,0,1440,Weekend
4057192912,2016-03-20,44,1782,0,0,2,1438,Weekend
4020332650,2016-03-20,10330,3728,0,0,0,1440,Weekend
4057192912,2016-03-21,2660,1978,0,0,46,1394,Weekday
4020332650,2016-03-21,8778,3348,0,0,0,1440,Weekday
4020332650,2016-03-22,6662,3162,0,0,0,1440,Weekday
4057192912,2016-03-22,5561,2296,0,0,169,1271,Weekday
4020332650,2016-03-23,6309,3140,0,0,0,1440,Weekday
4020332650,2016-03-24,1951,1980,0,0,0,1440,Weekday
4057192912,2016-03-24,7,1787,0,0,1,1439,Weekday
4057192912,2016-03-25,0,1776,0,0,0,1440,Weekday
4020332650,2016-03-25,5563,3681,0,0,0,1440,Weekday
1624580081,2016-03-25,1810,1373,0,0,121,1319,Weekday
4057192912,2016-03-26,0,1776,0,0,0,1440,Weekend
4020332650,2016-03-26,4370,3444,0,0,0,1440,Weekend
1624580081,2016-03-26,815,1264,0,0,47,1393,Weekend
1624580081,2016-03-27,1985,1350,0,0,112,1328,Weekend
4020332650,2016-03-27,7144,3510,0,0,0,1440,Weekend
4057192912,2016-03-27,2275,2005,0,0,86,1354,Weekend
1624580081,2016-03-28,1905,1342,0,0,95,1345,Weekday
4057192912,2016-03-28,8,1778,0,0,1,1439,Weekday
4020332650,2016-03-29,4152,2976,0,0,187,1253,Weekday
4445114986,2016-03-29,2303,2010,0,0,155,807,Weekday
1624580081,2016-03-29,1552,1300,0,0,66,1374,Weekday
4388161847,2016-03-29,0,1878,0,0,0,1440,Weekday
2891001357,2016-03-29,0,1920,0,0,0,1440,Weekday
4057192912,2016-03-29,5137,2293,0,0,160,1280,Weekday
2891001357,2016-03-30,0,1920,0,0,0,1440,Weekday
4057192912,2016-03-30,5419,2259,0,0,145,1295,Weekday
4388161847,2016-03-30,0,1878,0,0,0,1440,Weekday
4020332650,2016-03-30,5400,3418,0,0,258,795,Weekday
1624580081,2016-03-30,1675,1313,0,0,84,1356,Weekday
4445114986,2016-03-30,2600,2032,0,0,163,1277,Weekday
2347167796,2016-03-31,6760,1929,0,0,250,613,Weekday
4388161847,2016-03-31,0,1878,0,0,0,1440,Weekday
4702921684,2016-03-31,6963,2895,0,0,256,759,Weekday
4445114986,2016-03-31,4804,2227,0,0,238,786,Weekday
4057192912,2016-03-31,0,1776,0,0,0,1440,Weekday
2891001357,2016-03-31,0,1920,0,0,0,1440,Weekday
2320127002,2016-04-01,0,1324,0,0,0,1440,Weekday
4057192912,2016-04-01,0,1776,0,0,0,1440,Weekday
4445114986,2016-04-01,3271,2133,0,0,205,898,Weekday
2873212765,2016-04-01,890,1335,0,0,41,1399,Weekday
6117666160,2016-04-01,7444,2210,0,0,286,568,Weekday
3977333714,2016-04-01,4499,1288,0,0,168,842,Weekday
1624580081,2016-04-01,9218,1541,0,0,221,1219,Weekday
2026352035,2016-04-01,2605,1407,0,0,166,729,Weekday
6290855005,2016-04-01,6633,2778,0,0,280,1160,Weekday
8583815059,2016-04-01,2174,2360,0,0,112,1328,Weekday
4558609924,2016-04-01,5336,1902,0,0,258,1182,Weekday
6391747486,2016-04-01,0,1820,0,0,0,1440,Weekday
8253242879,2016-04-01,0,1429,0,0,0,1440,Weekday
4388161847,2016-04-01,0,1878,0,0,0,1440,Weekday
3372868164,2016-04-01,5785,1852,0,0,311,1129,Weekday
1844505072,2016-04-02,5367,1889,0,0,263,1177,Weekend
1624580081,2016-04-02,1556,1327,0,0,88,1352,Weekend
2320127002,2016-04-02,0,1324,0,0,0,1440,Weekend
2873212765,2016-04-02,2214,1559,0,0,197,1243,Weekend
4388161847,2016-04-02,0,1878,0,0,0,1440,Weekend
4558609924,2016-04-02,3183,1680,0,0,173,1180,Weekend
8378563200,2016-04-02,3358,2702,0,0,144,657,Weekend
8253242879,2016-04-02,0,1429,0,0,0,1440,Weekend
5553957443,2016-04-02,2937,1615,0,0,181,356,Weekend
7086361926,2016-04-02,87,1641,0,0,2,872,Weekend
4445114986,2016-04-02,5406,2317,0,0,273,672,Weekend
2891001357,2016-04-02,4126,2881,0,0,720,720,Weekend
6391747486,2016-04-02,2101,2224,46,0,0,1394,Weekend
6775888955,2016-04-02,1988,2207,0,0,79,909,Weekend
1927972279,2016-04-02,5662,2783,0,0,267,858,Weekend
2022484408,2016-04-02,5477,2040,0,0,237,1203,Weekend
4057192912,2016-04-02,0,1776,0,0,0,1440,Weekend
8583815059,2016-04-02,3494,2517,0,0,166,1274,Weekend
2026352035,2016-04-02,1229,1237,0,0,69,795,Weekend
6117666160,2016-04-03,0,1496,0,0,0,1440,Weekend
2026352035,2016-04-03,2308,1330,0,0,115,720,Weekend
1927972279,2016-04-03,3198,2449,0,0,146,1183,Weekend
2891001357,2016-04-03,0,1920,0,0,0,1440,Weekend
1624580081,2016-04-03,2910,1452,0,0,157,1283,Weekend
4445114986,2016-04-03,3146,2058,0,0,171,1269,Weekend
8253242879,2016-04-03,0,1429,0,0,0,1440,Weekend
5553957443,2016-04-03,1515,1481,0,0,93,507,Weekend
8583815059,2016-04-03,2380,2400,0,0,131,1309,Weekend
2347167796,2016-04-03,7485,2035,0,0,324,491,Weekend
6290855005,2016-04-03,0,2664,33,0,0,1407,Weekend
2320127002,2016-04-03,0,1324,0,0,0,1440,Weekend
1844505072,2016-04-03,2841,1636,0,0,136,1114,Weekend
3372868164,2016-04-03,4706,1816,0,0,299,1141,Weekend
4020332650,2016-04-03,6107,3313,0,0,265,776,Weekend
4388161847,2016-04-03,0,1878,0,0,0,1440,Weekend
4057192912,2016-04-03,0,1776,0,0,0,1440,Weekend
6391747486,2016-04-03,0,1820,0,0,0,1440,Weekend
2891001357,2016-04-04,0,1920,0,0,0,1440,Weekday
6391747486,2016-04-04,0,1820,0,0,0,1440,Weekday
1624580081,2016-04-04,18464,1574,0,0,270,1170,Weekday
6775888955,2016-04-04,0,1841,0,0,0,1440,Weekday
2026352035,2016-04-04,6679,1583,0,0,263,644,Weekday
8253242879,2016-04-04,0,1429,0,0,0,1440,Weekday
4558609924,2016-04-04,8205,2078,0,0,367,1073,Weekday
8583815059,2016-04-04,3159,2462,0,0,147,1293,Weekday
2320127002,2016-04-04,0,1324,0,0,0,1440,Weekday
4057192912,2016-04-04,0,1776,0,0,0,1440,Weekday
6290855005,2016-04-04,0,2060,0,0,0,1440,Weekday
1927972279,2016-04-04,2352,2380,0,0,128,829,Weekday
4445114986,2016-04-04,2422,1935,0,0,110,1330,Weekday
4388161847,2016-04-04,0,1878,0,0,0,1440,Weekday
1844505072,2016-04-04,0,1347,0,0,0,669,Weekday
4057192912,2016-04-05,0,1776,0,0,0,1440,Weekday
4388161847,2016-04-05,0,1296,0,0,0,994,Weekday
1927972279,2016-04-05,2234,2344,0,0,108,912,Weekday
2873212765,2016-04-05,8432,1953,0,0,374,1066,Weekday
2891001357,2016-04-05,2063,1144,0,0,630,99,Weekday
3372868164,2016-04-05,4460,1787,0,0,248,1192,Weekday
6290855005,2016-04-05,0,2060,0,0,0,1440,Weekday
8253242879,2016-04-05,0,1429,0,0,0,1440,Weekday
1624580081,2016-04-05,1335,1308,0,0,74,1366,Weekday
2320127002,2016-04-05,4931,1708,0,0,175,1265,Weekday
1844505072,2016-04-05,0,1347,0,0,0,1440,Weekday
2026352035,2016-04-05,5645,1538,0,0,248,621,Weekday
6117666160,2016-04-05,9910,2445,0,0,384,990,Weekday
4057192912,2016-04-06,18,1780,0,0,2,1438,Weekday
1927972279,2016-04-06,1259,2202,0,0,73,938,Weekday
4558609924,2016-04-06,5668,1853,0,0,259,1181,Weekday
8792009665,2016-04-06,2121,2114,0,0,122,855,Weekday
8583815059,2016-04-06,2098,2354,0,0,112,1328,Weekday
2320127002,2016-04-06,6999,1950,0,0,320,1120,Weekday
6290855005,2016-04-06,0,2060,0,0,0,1440,Weekday
6391747486,2016-04-06,165,1849,0,0,8,1432,Weekday
6117666160,2016-04-06,12409,2694,0,0,491,388,Weekday
2026352035,2016-04-06,3180,1421,0,0,185,738,Weekday
4020332650,2016-04-06,7476,3253,0,0,263,920,Weekday
1844505072,2016-04-06,7,1349,0,0,1,1439,Weekday
2873212765,2016-04-06,7350,1910,0,0,382,1058,Weekday
1624580081,2016-04-06,1004,1276,0,0,55,1385,Weekday
8253242879,2016-04-06,1931,1607,0,0,94,1346,Weekday
1927972279,2016-04-07,768,2130,0,0,43,1397,Weekday
6290855005,2016-04-07,0,2060,0,0,0,1440,Weekday
2320127002,2016-04-07,1846,1508,0,0,93,1347,Weekday
1624580081,2016-04-07,1111,1278,0,0,54,1386,Weekday
2026352035,2016-04-07,2767,1392,0,0,170,673,Weekday
4702921684,2016-04-07,6585,2822,0,0,210,770,Weekday
8792009665,2016-04-07,1291,1961,0,0,77,888,Weekday
6117666160,2016-04-07,4853,1903,0,0,156,770,Weekday
1844505072,2016-04-07,6344,1965,0,0,290,1150,Weekday
4057192912,2016-04-07,4,1778,0,0,1,1439,Weekday
8583815059,2016-04-07,2816,2437,0,0,138,1302,Weekday
6391747486,2016-04-07,0,1822,0,0,0,1440,Weekday
3372868164,2016-04-08,5551,1815,0,0,282,1158,Weekday
4445114986,2016-04-08,5543,2303,0,0,266,941,Weekday
6290855005,2016-04-08,0,2060,0,0,0,1440,Weekday
6391747486,2016-04-08,0,1820,0,0,0,1440,Weekday
2026352035,2016-04-08,3762,1425,0,0,173,719,Weekday
6117666160,2016-04-08,8955,2482,0,0,422,1018,Weekday
1927972279,2016-04-08,519,2088,0,0,34,1406,Weekday
2873212765,2016-04-08,7157,1944,0,0,380,1060,Weekday
1624580081,2016-04-08,6344,1409,0,0,143,1297,Weekday
8583815059,2016-04-08,1408,1814,0,0,79,1052,Weekday
4558609924,2016-04-08,4195,1778,0,0,241,1199,Weekday
2320127002,2016-04-08,3417,1625,0,0,153,1287,Weekday
1844505072,2016-04-08,5316,1824,0,0,221,1219,Weekday
6290855005,2016-04-09,0,2060,0,0,0,1440,Weekend
6391747486,2016-04-09,0,251,0,0,0,198,Weekend
4057192912,2016-04-09,1650,1952,0,0,60,1380,Weekend
4445114986,2016-04-09,4195,2210,0,0,239,758,Weekend
8378563200,2016-04-09,2240,2606,0,0,110,843,Weekend
6775888955,2016-04-09,14,787,0,0,1,601,Weekend
1844505072,2016-04-09,4979,1807,0,0,184,620,Weekend
2026352035,2016-04-09,3098,1413,0,0,185,700,Weekend
4558609924,2016-04-09,5512,1882,0,0,276,1164,Weekend
1624580081,2016-04-09,3572,1370,0,0,122,1318,Weekend
5553957443,2016-04-09,4599,1692,0,0,176,578,Weekend
8792009665,2016-04-09,1022,1890,0,0,63,739,Weekend
6117666160,2016-04-09,10789,2617,0,0,506,413,Weekend
2026352035,2016-04-10,5142,1515,0,0,230,654,Weekend
4558609924,2016-04-10,6263,1906,0,0,290,1150,Weekend
4445114986,2016-04-10,6625,2424,0,0,316,755,Weekend
6290855005,2016-04-10,0,735,20,0,0,494,Weekend
1644430081,2016-04-10,1329,489,0,0,35,207,Weekend
8253242879,2016-04-10,2545,1657,0,0,126,1314,Weekend
8378563200,2016-04-10,2631,2624,0,0,117,727,Weekend
2320127002,2016-04-10,2277,1530,0,0,103,1337,Weekend
1844505072,2016-04-10,6556,1971,0,0,305,810,Weekend
7086361926,2016-04-10,569,1799,0,0,27,1368,Weekend
1927972279,2016-04-10,2105,2442,0,0,139,805,Weekend
8792009665,2016-04-10,4605,2253,0,0,179,1261,Weekend
1927972279,2016-04-11,1209,2255,0,0,73,842,Weekday
4020332650,2016-04-11,2993,2507,0,0,114,888,Weekday
2873212765,2016-04-11,7497,1741,0,0,357,882,Weekday
8792009665,2016-04-11,178,1725,0,0,12,1428,Weekday
8253242879,2016-04-11,1636,1377,0,0,86,1139,Weekday
4057192912,2016-04-11,6801,2393,0,0,193,1247,Weekday
2026352035,2016-04-11,3279,1405,0,0,164,694,Weekday
1624580081,2016-04-11,10000,1469,0,0,172,1268,Weekday
1844505072,2016-04-11,5430,1888,0,0,251,1189,Weekday
4558609924,2016-04-11,8828,2149,0,0,308,1132,Weekday
4702921684,2016-04-11,6499,2677,0,0,207,809,Weekday
4388161847,2016-04-12,10122,2955,0,0,0,1440,Weekday
1624580081,2016-04-12,8163,1432,0,0,146,1294,Weekday
4319703577,2016-04-12,7753,2115,0,0,0,1440,Weekday
4558609924,2016-04-12,5135,1909,0,0,318,1122,Weekday
4445114986,2016-04-12,3276,2113,0,0,196,787,Weekday
4702921684,2016-04-12,7213,2947,0,0,263,718,Weekday
1844505072,2016-04-12,6697,2030,0,0,339,1101,Weekday
6775888955,2016-04-12,0,1841,0,0,0,1440,Weekday
6117666160,2016-04-12,0,1496,0,0,0,1440,Weekday
3372868164,2016-04-12,4747,1788,0,0,280,1160,Weekday
4057192912,2016-04-12,5394,2286,0,0,164,1276,Weekday
8792009665,2016-04-12,2564,2044,0,0,116,831,Weekday
1927972279,2016-04-12,678,2220,0,0,55,734,Weekday
6290855005,2016-04-12,4562,2560,0,0,199,1241,Weekday
6290855005,2016-04-13,7142,2905,0,0,350,1090,Weekday
2026352035,2016-04-13,4993,1521,0,0,238,663,Weekday
1844505072,2016-04-13,4929,1860,0,0,248,1192,Weekday
4020332650,2016-04-13,0,1981,0,0,0,1440,Weekday
1927972279,2016-04-13,356,2151,0,0,32,986,Weekday
4445114986,2016-04-13,2961,2095,0,0,194,840,Weekday
6117666160,2016-04-13,0,1496,0,0,0,1440,Weekday
8792009665,2016-04-13,1320,1934,0,0,82,806,Weekday
5553957443,2016-04-13,4832,1718,0,0,226,647,Weekday
2320127002,2016-04-13,7275,2003,0,0,335,1105,Weekday
1624580081,2016-04-13,7007,1411,0,0,148,1292,Weekday
4702921684,2016-04-13,6877,2898,0,0,258,777,Weekday
4057192912,2016-04-13,5974,2306,0,0,160,1280,Weekday
8583815059,2016-04-14,3135,2443,0,0,134,1306,Weekday
1844505072,2016-04-14,7937,2130,0,0,373,843,Weekday
2320127002,2016-04-14,3973,1696,0,0,191,1249,Weekday
8792009665,2016-04-14,1219,1963,0,0,84,853,Weekday
4445114986,2016-04-14,3974,2194,0,0,231,717,Weekday
2026352035,2016-04-14,3335,1431,0,0,197,653,Weekday
2873212765,2016-04-14,7910,1893,0,0,331,1109,Weekday
4558609924,2016-04-14,6799,1922,0,0,279,1161,Weekday
4702921684,2016-04-14,7860,2984,0,0,271,772,Weekday
6962181067,2016-04-14,1551,1466,0,0,86,862,Weekday
1624580081,2016-04-14,9107,1572,0,0,236,1204,Weekday
4057192912,2016-04-14,0,1776,0,0,0,1440,Weekday
6117666160,2016-04-14,0,1496,0,0,0,1440,Weekday
4020332650,2016-04-14,108,2011,0,0,3,1437,Weekday
6290855005,2016-04-14,7671,2952,0,0,363,1077,Weekday
4319703577,2016-04-15,5664,1985,0,0,228,752,Weekday
1844505072,2016-04-15,3844,1725,0,0,176,527,Weekday
2026352035,2016-04-15,3821,1444,0,0,188,687,Weekday
6962181067,2016-04-15,5563,1756,0,0,217,837,Weekday
7007744171,2016-04-15,5273,2098,0,0,202,1238,Weekday
6290855005,2016-04-15,9501,2896,0,0,328,1112,Weekday
8792009665,2016-04-15,2483,2009,0,0,126,937,Weekday
